document_id,positive_score,negative_score,polarity_score,subjectivity_score,word_count,sentence_count,avg_sentence_length,percentage_complex_words,fog_index,avg_words_per_sentence,complex_word_count,syllable_count,personal_pronoun_count,avg_word_length
72,1,3,-0.5,0.47073850392032207,550,29,18.96551724137931,38.54545454545455,23.004388714733544,18.96551724137931,212,1365,1,7.718181818181818
73,2,3,-0.2,0.4700757575757575,436,18,24.22222222222222,44.4954128440367,27.48705402650357,24.22222222222222,194,1157,2,7.944954128440367
74,2,2,0.0,0.43293532338308466,616,24,25.666666666666668,45.2922077922078,28.383549783549785,25.666666666666668,279,1642,9,8.071428571428571
75,3,0,1.0,0.41891613361762603,753,37,20.35135135135135,36.12217795484728,22.589411722479454,20.35135135135135,272,1911,2,7.952191235059761
76,2,2,0.0,0.47042748917748917,366,16,22.875,41.53005464480874,25.7620218579235,22.875,152,921,8,7.699453551912568
77,13,5,0.4444444444444444,0.46618686868686876,1126,58,19.413793103448278,39.698046181172295,23.64473571384823,19.413793103448278,447,2769,4,7.61278863232682
78,2,20,-0.8181818181818182,0.42692350384658084,666,51,13.058823529411764,41.14114114114114,21.679985868221163,13.058823529411764,274,1656,7,7.418918918918919
79,6,2,0.5,0.3943759018759019,625,42,14.880952380952381,48.64,25.408380952380952,14.880952380952381,304,1656,12,7.9232
80,9,0,1.0,0.5150330687830685,701,39,17.974358974358974,42.93865905848788,24.365207213138742,17.974358974358974,301,1790,1,7.708987161198288
81,5,4,0.1111111111111111,0.3680348258706468,905,63,14.365079365079366,36.68508287292818,20.42006489520302,14.365079365079366,332,2210,80,7.718232044198895
82,2,1,0.3333333333333333,0.38653591306652524,407,9,45.22222222222222,55.528255528255535,40.30019110019111,45.22222222222222,226,1163,6,8.454545454545455
83,1,0,1.0,0.44266774891774885,280,23,12.173913043478262,35.35714285714286,19.01242236024845,12.173913043478262,99,686,5,7.75
84,1,1,0.0,0.4576388888888889,384,13,29.53846153846154,41.92708333333333,28.586217948717945,29.53846153846154,161,967,4,7.578125
85,2,0,1.0,0.3581529581529581,222,16,13.875,30.180180180180184,17.622072072072076,13.875,67,496,11,6.9774774774774775
86,1,0,1.0,0.3674242424242424,221,14,15.785714285714286,40.723981900452486,22.60387847446671,15.785714285714286,90,582,15,8.447963800904978
87,1,2,-0.3333333333333333,0.3830234159779614,213,20,10.65,28.169014084507044,15.52760563380282,10.65,60,469,22,6.985915492957746
88,3,1,0.5,0.5471532091097309,262,23,11.391304347826088,37.02290076335878,19.365682044473946,11.391304347826088,97,574,12,6.984732824427481
89,6,1,0.7142857142857143,0.41587334121816866,692,51,13.568627450980392,37.42774566473989,20.398549246288113,13.568627450980392,259,1654,7,7.348265895953757
90,1,0,1.0,0.3921718665949434,289,10,28.9,38.062283737024224,26.78491349480969,28.9,110,705,3,7.595155709342561
91,2,0,1.0,0.28691460055096407,413,6,68.83333333333333,37.530266343825666,42.545439870863596,68.83333333333333,155,1025,4,7.796610169491525
92,1,0,1.0,0.4095833333333333,218,7,31.142857142857142,38.53211009174312,27.869986893840107,31.142857142857142,84,546,4,7.894495412844036
93,2,0,1.0,0.3234057609057609,473,36,13.13888888888889,35.94080338266385,19.6318769086211,13.13888888888889,170,1131,1,7.116279069767442
94,3,0,1.0,0.39714285714285713,219,5,43.8,34.24657534246575,31.218630136986306,43.8,75,511,3,7.2146118721461185
95,2,0,1.0,0.47639042330218795,406,26,15.615384615384615,36.69950738916256,20.92595680181887,15.615384615384615,149,953,32,7.226600985221675
96,3,1,0.5,0.44635912698412694,338,17,19.88235294117647,29.585798816568047,19.78726070309781,19.88235294117647,100,732,21,6.6301775147929
97,1,2,-0.3333333333333333,0.2697916666666667,350,26,13.461538461538462,28.285714285714285,16.6989010989011,13.461538461538462,99,746,27,6.4714285714285715
98,1,0,1.0,0.3907894736842104,242,20,12.1,40.082644628099175,20.873057851239672,12.1,97,577,8,7.706611570247934
99,1,0,1.0,0.1994252873563218,251,12,20.916666666666668,39.8406374501992,24.30292164674635,20.916666666666668,100,591,5,7.326693227091633
100,1,0,1.0,0.40804195804195803,143,7,20.428571428571427,42.65734265734265,25.234365634365634,20.428571428571427,61,379,4,8.034965034965035
101,7,0,1.0,0.4695634920634921,268,18,14.88888888888889,31.343283582089555,18.492868988391375,14.88888888888889,84,612,13,7.141791044776119
102,1,1,0.0,0.29741996686441124,228,15,15.2,36.40350877192983,20.64140350877193,15.2,83,548,6,7.355263157894737
103,1,1,0.0,0.35,126,4,31.5,43.65079365079365,30.06031746031746,31.5,55,352,3,8.634920634920634
104,0,0,0.0,0.33409090909090905,172,6,28.666666666666668,41.27906976744186,27.97829457364341,28.666666666666668,71,450,2,8.523255813953488
105,1,0,1.0,0.2,77,4,19.25,45.45454545454545,25.881818181818183,19.25,35,217,4,8.766233766233766
106,1,1,0.0,0.17000000000000004,110,5,22.0,49.09090909090909,28.436363636363637,22.0,54,307,4,8.690909090909091
107,1,1,0.0,0.2971590909090909,125,6,20.833333333333332,44.0,25.933333333333334,20.833333333333332,55,329,5,8.376
108,2,0,1.0,0.225,88,3,29.333333333333332,53.40909090909091,33.096969696969694,29.333333333333332,47,270,3,9.329545454545455
109,1,2,-0.3333333333333333,0.24770408163265306,131,8,16.375,51.14503816793893,27.008015267175576,16.375,67,378,4,8.793893129770993
110,2,1,0.3333333333333333,0.409297052154195,221,12,18.416666666666668,38.91402714932127,22.93227752639518,18.416666666666668,86,535,12,7.678733031674208
111,2,0,1.0,0.4716666666666667,263,9,29.22222222222222,39.92395437262358,27.658470637938322,29.22222222222222,105,659,16,7.85171102661597
112,0,3,-1.0,0.5318500127323657,285,13,21.923076923076923,35.08771929824561,22.804318488529017,21.923076923076923,100,673,11,7.129824561403509
113,1,1,0.0,0.475,289,14,20.642857142857142,31.833910034602077,20.99070687098369,20.642857142857142,92,662,14,7.062283737024221
114,0,2,-1.0,0.42661564625850346,243,14,17.357142857142858,34.5679012345679,20.770017636684305,17.357142857142858,84,586,15,7.666666666666667
115,1,0,1.0,0.44526128633271483,474,15,31.6,32.70042194092827,25.72016877637131,31.6,155,1063,28,6.981012658227848
116,0,0,0.0,0.42077922077922075,210,6,35.0,38.57142857142858,29.428571428571434,35.0,81,501,7,7.780952380952381
117,2,1,0.3333333333333333,0.36155303030303027,546,26,21.0,43.40659340659341,25.762637362637363,21.0,237,1391,6,7.65934065934066
118,0,0,0.0,0.6166428571428572,258,13,19.846153846153847,29.069767441860467,19.566368515205728,19.846153846153847,75,578,8,6.953488372093023
119,2,0,1.0,0.338095238095238,217,15,14.466666666666667,40.55299539170507,22.007864823348697,14.466666666666667,88,552,12,7.7695852534562215
120,0,0,0.0,0.43896825396825395,138,3,46.0,26.811594202898554,29.124637681159427,46.0,37,300,1,6.688405797101449
121,2,1,0.3333333333333333,0.4160382628124563,230,11,20.90909090909091,33.47826086956522,21.754940711462453,20.90909090909091,77,529,6,7.360869565217391
122,2,1,0.3333333333333333,0.25740418118466907,256,11,23.272727272727273,30.078125,21.340340909090912,23.272727272727273,77,574,7,7.05859375
123,2,0,1.0,0.44923469387755105,221,7,31.571428571428573,30.316742081447963,24.75526826115062,31.571428571428573,67,480,6,7.0542986425339365
124,2,4,-0.3333333333333333,0.496247619047619,175,7,25.0,45.714285714285715,28.285714285714292,25.0,80,472,9,7.88
125,1,1,0.0,0.2796791443850267,236,12,19.666666666666668,30.93220338983051,20.23954802259887,19.666666666666668,73,524,12,7.101694915254237
126,1,2,-0.3333333333333333,0.3009641873278236,292,17,17.176470588235293,32.534246575342465,19.884286865431104,17.176470588235293,95,676,1,7.390410958904109
127,0,0,0.0,0.37142857142857144,320,6,53.333333333333336,37.8125,36.458333333333336,53.333333333333336,121,756,0,7.321875
128,0,2,-1.0,0.3812097812097812,232,17,13.647058823529411,37.93103448275862,20.631237322515215,13.647058823529411,88,601,1,7.969827586206897
129,1,0,1.0,0.35535714285714276,127,4,31.75,45.66929133858268,30.967716535433073,31.75,58,345,0,8.590551181102363
130,3,2,0.2,0.311574074074074,193,5,38.6,37.30569948186528,30.362279792746115,38.6,72,469,1,7.668393782383419
131,2,0,1.0,0.36184012066365007,212,3,70.66666666666667,33.0188679245283,41.474213836477986,70.66666666666667,70,499,0,7.400943396226415
132,1,0,1.0,0.21428571428571433,159,2,79.5,35.84905660377358,46.13962264150944,79.5,57,414,0,7.9245283018867925
133,0,0,0.0,0.20750000000000002,129,3,43.0,31.782945736434108,29.91317829457364,43.0,41,307,3,7.4186046511627906
